"","ensembl_gene_id","mgi_symbol"
"450","ENSMUSG00000038383","Pigu"
"451","ENSMUSG00000097451","Rian"
"452","ENSMUSG00000028940","Hes2"
"453","ENSMUSG00000058454","Dhcr7"
"454","ENSMUSG00000031917","Nip7"
"455","ENSMUSG00000085327","Gm16104"
"456","ENSMUSG00000098061","Gm26945"
"457","ENSMUSG00000055053","Nfic"
"458","ENSMUSG00000081652","Gm14283"
"459","ENSMUSG00000082134","Gm15236"
"460","ENSMUSG00000083671","Gm14304"
"461","ENSMUSG00000081012","Gm15224"
"462","ENSMUSG00000083466","Gm15225"
"463","ENSMUSG00000038375","Trp53inp2"
"464","ENSMUSG00000025142","Aspscr1"
"465","ENSMUSG00000060467","Gm10080"
"466","ENSMUSG00000007097","Atp1a2"
"467","ENSMUSG00000019312","Grb7"
"468","ENSMUSG00000034471","Caskin2"
"469","ENSMUSG00000038034","Igsf8"
"470","ENSMUSG00000075463","4930594M22Rik"
"471","ENSMUSG00000085423","Gm15735"
"472","ENSMUSG00000041594","Tmtc4"
"473","ENSMUSG00000020747","Tmem94"
"474","ENSMUSG00000038663","Fsd2"
"475","ENSMUSG00000031372","Trex2"
"476","ENSMUSG00000033453","Adamts15"
"477","ENSMUSG00000041650","Pcca"
"478","ENSMUSG00000080237","Gm14239"
"479","ENSMUSG00000038369","Ncoa6"
"480","ENSMUSG00000020166","Cnot2"
"481","ENSMUSG00000031849","Comp"
"482","ENSMUSG00000041625","Ggact"
"483","ENSMUSG00000090758","Gm17178"
"484","ENSMUSG00000052291","5330438D12Rik"
"485","ENSMUSG00000040621","Gemin8"
"486","ENSMUSG00000086264","Gm15850"
"487","ENSMUSG00000020513","Tubd1"
"488","ENSMUSG00000084080","Gm15227"
"489","ENSMUSG00000050865","Olfr1494"
"490","ENSMUSG00000096188","Cmtm4"
"491","ENSMUSG00000034271","Jdp2"
"492","ENSMUSG00000031310","Zmym3"
"493","ENSMUSG00000032232","Cgnl1"
"494","ENSMUSG00000031371","Haus7"
"495","ENSMUSG00000031919","Tmed6"
"496","ENSMUSG00000034194","R3hcc1"
"497","ENSMUSG00000047207","Olfr1495"
"498","ENSMUSG00000025144","Cenpx"
"499","ENSMUSG00000085724","Gm13096"
"500","ENSMUSG00000031994","Adamts8"
"501","ENSMUSG00000028937","Acot7"
"502","ENSMUSG00000047412","Zbtb44"
"503","ENSMUSG00000031342","Gpm6b"
"504","ENSMUSG00000031085","Gm498"
"505","ENSMUSG00000025145","Lrrc45"
"506","ENSMUSG00000048356","Olfr1496"
"507","ENSMUSG00000032507","Fbxl2"
"508","ENSMUSG00000044040","Olfr1497"
"509","ENSMUSG00000029625","Cpsf4"
"510","ENSMUSG00000018168","Ikzf3"
"511","ENSMUSG00000083341","Gm14238"
"512","ENSMUSG00000018012","Rac3"
"513","ENSMUSG00000009741","Ubp1"
"514","ENSMUSG00000055670","Zzef1"
"515","ENSMUSG00000026483","Fam129a"
"516","ENSMUSG00000039450","Dcxr"
"517","ENSMUSG00000090305","Gm5459"
"518","ENSMUSG00000086596","Susd5"
"519","ENSMUSG00000017195","Zpbp2"
"520","ENSMUSG00000042323","Pbrm1"
"521","ENSMUSG00000031921","Terf2"
"522","ENSMUSG00000084329","Gm6733"
"523","ENSMUSG00000025150","Cbr2"
"524","ENSMUSG00000064299","4921528I07Rik"
"525","ENSMUSG00000045395","Olfr1499"
"526","ENSMUSG00000027333","Smox"
"527","ENSMUSG00000053820","Bcl2a1c"
"528","ENSMUSG00000034266","Batf"
"529","ENSMUSG00000078249","Hmga1-rs1"
"530","ENSMUSG00000083618","Gm11771"
"531","ENSMUSG00000074039","4930520O04Rik"
"532","ENSMUSG00000017264","Exosc10"
"533","ENSMUSG00000032431","Crtap"
"534","ENSMUSG00000025158","Rfng"
"535","ENSMUSG00000029674","Limk1"
"536","ENSMUSG00000086529","Acss2os"
"537","ENSMUSG00000085317","Gssos2"
"538","ENSMUSG00000027603","Ggt7"
"539","ENSMUSG00000079260","Tmppe"
"540","ENSMUSG00000025156","Gps1"
"541","ENSMUSG00000045594","Glb1"
"542","ENSMUSG00000082860","Gm13204"
"543","ENSMUSG00000072573","Gm10369"
"544","ENSMUSG00000027605","Acss2"
"545","ENSMUSG00000054526","Olfr1500"
"546","ENSMUSG00000047898","Ccr4"
"547","ENSMUSG00000042804","Gpr153"
"548","ENSMUSG00000093624","Mipep-ps"
"549","ENSMUSG00000027610","Gss"
"550","ENSMUSG00000079259","Trim71"
"551","ENSMUSG00000057270","Olfr1501"
"552","ENSMUSG00000034258","Mfsd7c"
"553","ENSMUSG00000087616","Gm14257"
"554","ENSMUSG00000085010","Gssos1"
"555","ENSMUSG00000093687","Gm20637"
"556","ENSMUSG00000056858","Olfr1502"
"557","ENSMUSG00000028946","Hes3"
"558","ENSMUSG00000056167","Cnot10"
"559","ENSMUSG00000020781","Tsen54"
"560","ENSMUSG00000058078","Olfr1503-ps1"
"561","ENSMUSG00000085745","Gm14372"
"562","ENSMUSG00000055159","4930583K01Rik"
"563","ENSMUSG00000037541","Shank2"
"564","ENSMUSG00000059105","Olfr1504"
"565","ENSMUSG00000031924","Cyb5b"
"566","ENSMUSG00000032435","Dync1li1"
"567","ENSMUSG00000040586","Ofd1"
"568","ENSMUSG00000038150","Ormdl3"
"569","ENSMUSG00000079317","Trappc2"
"570","ENSMUSG00000062314","Olfr1505"
"571","ENSMUSG00000086545","Lrrc3c"
"572","ENSMUSG00000078134","Gm12355"
"573","ENSMUSG00000032434","Cmtm6"
"574","ENSMUSG00000021252","0610007P14Rik"
"575","ENSMUSG00000064224","Gsdma3"
"576","ENSMUSG00000057657","Rps18-ps3"
"577","ENSMUSG00000032436","Cmtm7"
"578","ENSMUSG00000052724","Gm9888"
"579","ENSMUSG00000017211","Gsdma2"
"580","ENSMUSG00000041012","Cmtm8"
"581","ENSMUSG00000058351","Smim4"
"582","ENSMUSG00000017204","Gsdma"
"583","ENSMUSG00000058498","Rnf207"
"584","ENSMUSG00000038671","Arfrp1"
"585","ENSMUSG00000031375","Bgn"
