"","gene","freq","hgnc_symbol"
"313","ensg00000165283",0.113350904834126,"STOML2"
"314","ensg00000136997",0.11320365762078,"MYC"
"315","ensg00000125835",0.112909163194087,"SNRPB"
"316","ensg00000099901",0.112879713751417,"RANBP1"
"317","ensg00000170860",0.112835539587413,"LSM3"
"318","ensg00000102265",0.11234962378337,"TIMP1"
"319","ensg00000069275",0.112069854078012,"NUCKS1"
"320","ensg00000042753",0.11171646076598,"AP2S1"
"321","ensg00000197747",0.111628112437972,"S100A10"
"322","ensg00000120437",0.111598662995303,"ACAT2"
"323","ensg00000173113",0.11152503938863,"TRMT112"
"324","ensg00000008394",0.111053848305921,"MGST1"
"325","ensg00000169714",0.111009674141917,"CNBP"
"326","ensg00000196154",0.110759353879228,"S100A4"
"327","ensg00000145247",0.1104501347312,"OCIAD2"
"328","ensg00000125870",0.110008393091161,"SNRPB2"
"329","ensg00000228474",0.109169083975086,"OST4"
"330","ensg00000171159",0.109066010925743,"C9orf16"
"331","ensg00000174021",0.108933488433731,"GNG5"
"332","ensg00000160752",0.108638994007038,"FDPS"
"333","ensg00000106803",0.108329774859011,"SEC61B"
"334","ensg00000123562",0.108153078202995,"MORF4L2"
"335","ensg00000106399",0.107858583776302,"RPA3"
"336","ensg00000112378",0.107755510726959,"PERP"
"337","ensg00000129559",0.107740786005625,"NEDD8"
"338","ensg00000086061",0.107549364628274,"DNAJA1"
"339","ensg00000079459",0.107446291578932,"FDFT1"
"340","ensg00000167552",0.106768954397538,"TUBA1A"
"341","ensg00000117118",0.106636431905526,"SDHB"
"342","ensg00000143977",0.106415561085506,"SNRPG"
"343","ensg00000205544",0.106356662200168,"TMEM256"
"344","ensg00000099977",0.106062167773475,"DDT"
"345","ensg00000067064",0.105826572232121,"IDI1"
"346","ensg00000054148",0.104442448426664,"PHPT1"
"347","ensg00000198856",0.104383549541325,"OSTC"
"348","ensg00000131495",0.104339375377321,"NDUFA2"
"349","ensg00000143320",0.104265751770648,"CRABP2"
"350","ensg00000124766",0.104162678721305,"SOX4"
"351","ensg00000172172",0.104118504557301,"MRPL13"
"352","ensg00000126457",0.104030156229293,"PRMT1"
"353","ensg00000107833",0.103971257343955,"NPM3"
"354","ensg00000164111",0.103882909015947,"ANXA5"
"355","ensg00000115053",0.103868184294612,"NCL"
"356","ensg00000142089",0.103662038195927,"IFITM3"
"357","ensg00000136930",0.103043599899872,"PSMB7"
"358","ensg00000149100",0.10269020658784,"EIF3M"
"359","ensg00000165264",0.102660757145171,"NDUFB6"
"360","ensg00000198668",0.102587133538498,"CALM1"
"361","ensg00000086598",0.102484060489155,"TMED2"
"362","ensg00000198900",0.102130667177124,"TOP1"
"363","ensg00000139644",0.101983419963777,"TMBIM6"
"364","ensg00000173272",0.101718374979754,"MZT2A"
"365","ensg00000105669",0.101114661405033,"COPE"
"366","ensg00000146425",0.10059929615832,"DYNLT1"
"367","ensg00000241468",0.10040787478097,"ATP5J2"
